date,views,uniques,clones,clone_uniques,top_referrers
2026-07-06,0,0,0,0,github.com:4;banyan.city:1
2026-07-07,0,0,0,0,github.com:4;banyan.city:1
2026-07-08,0,0,0,0,github.com:4;banyan.city:1
2026-07-09,0,0,0,0,github.com:4;banyan.city:1
2026-07-10,5,1,26,10,github.com:4;banyan.city:1
2026-07-11,1,1,113,43,github.com:4;banyan.city:1
2026-07-12,0,0,44,24,github.com:4;banyan.city:1
2026-07-13,0,0,206,78,github.com:4;banyan.city:1
2026-07-14,0,0,11,9,github.com:4;banyan.city:1
2026-07-15,0,0,2,2,github.com:4;banyan.city:1
2026-07-16,1,1,1,1,github.com:4;banyan.city:1
2026-07-17,0,0,2,2,github.com:4;banyan.city:1
2026-07-18,0,0,36,16,github.com:4;banyan.city:1
2026-07-19,0,0,206,71,github.com:4;banyan.city:1
